Item_number,Description,"Total_650K
"
002300-08015,Bolt HH FT M8x16 ISO4017/DIN933 CL8.8 flZn/nc/L/480H ISO10683,0
002036-335-00001,Sticker SPO/SCO/HC-SPO,0
002036-035-13001,Assy drive bedsection + safety wedge +EM,0
002036-035-10001,Assy drive bedsection + safety wedge +EM,0
002036-035-10000,Assy drive bedsection + safety wedge +EM,0
002036-032-03000,Assy cover for slothole bedsection SPO/SCO,0
002036-032-02700,Assy cover for slothole bedsection SPO/SCO,0
002036-032-02250,Assy cover for slothole bedsection SPO/SCO,0
001695-00005,Steel cable ?5mm (3/5) plastified,0
001693-50000,Grounding clip t=2-3mm,7423
001388-351-00300,Assy connection side guarding MBJ 30ø Left,0
001388-351-00100,Assy connection side guarding MBJ 30ø Left,9
001388-345-00300,Assy connection side guarding MBj 30ø Right,0
001388-345-00100,Assy connection side guarding MBj 30ø Right,0
001388-344-10570,Side guard for MBJ right,0
001388-343-10570,Weldment side guard for MBJ left,0
001285-016-00790,Assy fixed side stop,75
001285-016-00590,Assy fixed side stop,104
001040-001-00940,"?50 driven roller with axle ?17 axle extension 10 mm (2x), M8, EL= 940",14
001040-001-00840,"?50 driven roller with axle ?17 axle extension 10 mm (2x), M8, EL= 840",38
001040-001-00740,"?50 driven roller with axle ?17 axle extension 10 mm (2x), M8, EL= 740",78
001040-001-00640,"?50 driven roller with axle ?17 axle extension 10 mm (2x), M8, EL= 640",0
001040-001-00540,"?50 driven roller with axle ?17 axle extension 10 mm (2x), M8, EL= 540",196
001040-001-00440,"?50 driven roller with axle ?17 axle extension 10 mm (2x), M8, EL= 440",548
000420-21179,KA39/DRN100LM4/2.2/216/M4B-90/-/IV/30/-/E,24
000420-19909,KA87/DRN160L4/15/178/M4B-0/-/-/60/TH/E,0
000420-19908,KA87/DRN160M4/11/178/M4B-0/-/-/60/TH/E,0
000420-19907,KA87/DRN132M4/7.5/177/M4B-0/-/-/60/TH/E,0
000420-19899,KA87/DRN160L4/15/178/M4A-180/-/-/60/TH/E,0
000420-19873,KA77/DRN100LM4/2.2/57/M4A-270/B/AND8/50/-/E,12
000420-19872,KA77/DRN100LM4/2.2/57/M4A-270/-/AND8/50/-/E,47
000420-19286,R27/DRN80M4/0.75/257/M3-0/-/AND8/25/-/E,0
000420-19284,R27/DRN80M4/0.75/219/M3-0/-/AND8/25/-/E,0
000420-18531,KA49/DRN100LM4/2.2/73/M4B-90/-/IV/40/-/E,15
000420-18304,KA49/DRN100LM4/2.2/93/M4B-90/B/IV/40/-/E/#,3
000420-18271,KA77/DRN132S4/5.5/108/M4A-90/-/AND8/50/-/E,1
000420-18270,KA77/DRN100L4/3/50/M4A-90/-/AND8/50/-/E,9
000420-18263,KA49/DRN100L4/3/159/M4B-90/-/IV/40/-/E,3
000420-18257,KA39/DRN100LM4/2.2/216/M4B-90/-/IV/30/-/E,0
000420-18256,KA39/DRN90S4/1.1/216/M4B-90/-/IV/30/-/E,0
000420-18237,KA77/DRN132S4/5.5/108/M4A-90/B/AND8/50/-/E,2
000420-18235,KA77/DRN112M4/4/72/M4A-90/B/AND8/50/-/E,1
000420-18233,KA77/DRN100L4/3/50/M4A-90/B/AND8/50/-/E,9
000420-18217,KA49/DRN100L4/3/159/M4B-90/B/IV/40/-/E,0
000420-18210,KA49/DRN100LM4/2.2/73/M4B-90/B/IV/40/-/E,3
000420-18208,KA49/DRN90L4/1.5/73/M4B-90/B/IV/40/-/E,28
000420-17634,KA49/DRN100LM4/2.2/93/M4B-90/-/IV/40/-/E,8
000420-17520,KA49/DRN100L4/3/93/M4B-90/-/IV/40/-/E,0
000420-16727,KA77/DRN112M4/4/72/M4A-90/-/AND8/50/-/E,4
000420-16726,KA77/DRN90L4/1.5/32/M4A-90/B/AND8/50/-/E,0
000420-16725,KA77/DRN90L4/1.5/32/M4A-90/-/AND8/50/-/E,0
000420-16722,KA49/DRN90L4/1.5/73/M4B-90/-/IV/40/-/E,44
000420-16720,KA49/DRN90L4/1.5/50/M4B-90/-/IV/40/-/E,0
000420-16719,KA49/DRN90S4/1.1/50/M4B-90/B/IV/40/-/E,0
000420-16718,KA49/DRN90S4/1.1/50/M4B-90/-/IV/40/-/E,0
000420-16717,KA39/DRN80M4/0.75/73/M4B-90/B/IV/30/-/E,10
000420-16716,KA39/DRN80M4/0.75/73/M4B-90/-/IV/30/-/E,36
000420-16017,R27/DRN80M4/0.75/173/M3-0/-/AND8/25/-/A/#,3
000420-15686,R27/DRN71M4/0.37/107/M3-0/-/AND8/25/-/E,0
000420-15684,R27/DRN71M4/0.37/78/M3-0/-/AND8/25/-/E,0
000420-14682,"KA37/DRN90S4/1,10/277/M4A-270/-/AND8/30/-/A/#",16
000420-14681,KA37/DRN80M4/0.75/197/M4A-270/B/AND8/30/-/A/#,1
000420-14680,KA37/DRN80M4/0.75/197/M4A-270/-/AND8/30/-/A/#,0
000420-14659,"KA77/DRN100L4/3,00/99/M4A-270/B/AND8/50/-/A/#",0
000420-14658,"KA77/DRN100L4/3,00/99/M4A-270/-/AND8/50/-/A/#",0
000420-14657,"KA77/DRN100L4/2,20/69/M4A-270/B/AND8/50/-/A/#",0
000420-14656,"KA77/DRN100L4/2,20/69/M4A-270/-/AND8/50/-/A/#",0
000420-14655,"KA77/DRN90L4/1,50/46/M4A-270/B/AND8/50/-/A/#",0
000420-14389,R27/DRN80M4/0.75/215/M3-180/-/AND8/25/-/A/#,0
000420-11926,"KA87/DRN132M4/7,5/102/M4A-180/-/-/60/TH/A/#",0
000420-05897,KA39/DRS71M4/0.55/69/M4B-90/B/IV/30/-/E,0
000420-05896,KA39/DRS71M4/0.55/69/M4B-90/-/IV/30/-/E,0
004518-00400,Belt E10/2 TX0/V15 LG-SE-AMP black W=400 prepared,0
000141-95102,"Tube WD ?25x 2,0, DIN2394, S235JRH, CR, EN10025 ZP",0
000000-06793,Ultrasonic sensor mounting bracket,0
000000-06792,Ultrasonic sensor M12 male 5p pnp range 350-5000mm IO Link,0
000000-06713,"Cable Extension male/female 12p L = 2,0m",68
000000-06592,"I/O Module Digital 2x IO-link EthernetIP 14x M12 2x 7/8"" 4p metal",0
000000-06176,"Rope with cable wire 3/16"", 7x19 core stainless steel",846
000000-06025,"Safety net 1/16"" cord 1"" mesh knotless black without band all around W=21""",846
000000-06015,"Washer flat 5/16"" USS ASME B18.21.1 steel galvanized",12195
000000-05931,"Carabine hook spring snap 5/16"" x 3-1/8"" w/ 3/8"" snap opening ZP",50220
000000-05870,Poly-V belt 4PJ L=536mm elastic,0
000000-04721,Nut clip CJ M8 CL 5 DIN267,0
000000-04063,Poly-V belt 4PJ L=570mm elastic,0
000000-03045,Timing belt PLT W=30 L=1200mm pitch=8mm,0
000000-02945,Photo sensor reflective M12 male 4p 24Vdc pnp/npn range 0-2m pigtail L=270mm,0
000000-02873,Safety net Enkalon nr.20 20x20mm black no finishing W=540,0
000000-02459,Network analyser Atlas 24Vdc RJ45 10/100/1000Mbit/s cable L=100m,0
000000-02188,Bearing slide flange F2FM 6x8x6mm flange=?13mm (ESD-C),0
000000-01831,Cover hood complete for KA57/KA67/FA57/SA67/KA39/KA49,177
000000-01013,Circuit board CBK-109FP pnp version,0
014513-034-32082,Assy Sort Unit  W=820,0
015593-071-01500,Assy finger protection,12
027075-008-07546,Weldment DotM Heavy Square Deck (epoxy coated / blank) W=460 L=748,0
027075-008-07556,Weldment DotM Heavy Square Deck (epoxy coated / blank) W=560 L=748,0
027075-008-07576,Weldment DotM Heavy Square Deck (epoxy coated / blank) W=760 L=748,0
027075-001-07146,DotM Square Deck (epoxy coated / blank) W=460  L=73,0
027075-001-07156,DotM Square Deck (epoxy coated / blank) W=560  L=73,0
027075-001-07166,DotM Square Deck (epoxy coated / blank) W=660  L=73,0
027075-001-07176,DotM Square Deck (epoxy coated / blank) W=760  L=73,0
027075-001-07196,DotM Square Deck (epoxy coated / blank) W=960  L=73,0
027075-001-22146,DotM Square Deck (epoxy coated / blank) W=460  L=223,0
027075-001-22156,DotM Square Deck (epoxy coated / blank) W=560  L=223,0
027075-001-22166,DotM Square Deck (epoxy coated / blank) W=660  L=223,0
027075-001-22176,DotM Square Deck (epoxy coated / blank) W=760  L=223,0
027075-001-22186,DotM Square Deck (epoxy coated / blank) W=860  L=223,0
027075-001-22196,DotM Square Deck (epoxy coated / blank) W=960  L=223,0
027075-001-30146,DotM Square Deck (epoxy coated / blank) W=460  L=298,0
027075-001-30156,DotM Square Deck (epoxy coated / blank) W=560  L=298,0
027075-001-30166,DotM Square Deck (epoxy coated / blank) W=660  L=298,0
027075-001-30176,DotM Square Deck (epoxy coated / blank) W=760  L=298,0
027075-001-37146,DotM Square Deck (epoxy coated / blank) W=460  L=373,0
027075-001-37156,DotM Square Deck (epoxy coated / blank) W=560  L=373,0
027075-001-37176,DotM Square Deck (epoxy coated / blank) W=760  L=373,0
027075-001-52146,DotM Square Deck (epoxy coated / blank) W=460  L=523,0
027075-001-52156,DotM Square Deck (epoxy coated / blank) W=560  L=523,0
027075-001-52176,DotM Square Deck (epoxy coated / blank) W=760  L=523,0
027075-001-52196,DotM Square Deck (epoxy coated / blank) W=960  L=523,0
027075-001-75146,DotM Square Deck (epoxy coated / blank) W=460  L=748,0
027075-002-75056,Weldment DotM Square Deck,0
027075-002-75066,Weldment DotM Square Deck (epoxy coated / blank) W=660 L=748,0
027075-002-75076,Weldment DotM Square Deck (epoxy coated / blank) W=760  L=748,0
027075-002-75086,Weldment DotM Square Deck (epoxy coated / blank) W=860  L=748,0
027075-002-75096,Weldment DotM Square Deck (epoxy coated / blank) W=960 L=748,0
027075-004-00046,"Deck ETU BF W=460 L=174,1Square deck",0
027075-004-00056,Deck ETU BF W=560 L=174Square deck,0
027075-004-00086,Deck ETU BF W=860 L=174Square deck,0
LF-0003282BRF,COMBI - BJ (Trans. cover) + Drivetrain + Belt,0
014496-543-30005,assy sliderbed heavy,0
027075-008-07596,Weldment DotM Heavy Square Deck (epoxy coated / blank) W=960 L=748,0
027075-001-07186,Weldment DotM Heavy Square Deck (epoxy coated / blank) W=960 L=748,0
027075-001-30186,DotM Square Deck (epoxy coated / blank) W=860  L=298,0
027075-004-00066,DotM Square Deck ETU (epoxy coated / blank) W=660  L=209,0
027075-004-00076,DotM Square Deck ETU (epoxy coated / blank) W=760  L=209,0
027075-004-00096,DotM Square Deck ETU (epoxy coated / blank) W=960  L=209,0
026368-004-06574,Assy LRD Preassembly - CBM-50E controller,0
026368-004-16574,Assy LRD Preassembly - CBM-50E controller,0
030123-019-41152,"Assy BOR Pre-Assembly, FL=750",0
030123-019-41252,"Assy BOR Pre-Assembly, FL=750",0
030123-019-41262,"Assy BOR Pre-Assembly, FL=750",0
030123-003-05301,Assy BF Intermediate Section Pre-Assembly,0
030123-003-06301,Assy BF Intermediate Section Pre-Assembly,0
030123-003-07301,Assy BF Intermediate Section Pre-Assembly,0
030123-003-08301,Assy BF Intermediate Section Pre-Assembly,0
030123-006-05300,Assy BF ETU Section Pre-Assembly,0
014496-543-30005,"Assy sliderbed, width = 1500 mm US",0
